Animal,ExpID,stacks,donut segmentation,segmentation comments,recording comments
Nlgn9,51935,2 x dark; 2x nat,testing (Flor),z drift,*some eye problems during awake recs; be careful
Nlgn9,51939,8 x cn,done ,discard #2;8,
Nlgn9,51947,2 x dark; 2x nat; 2x ori; 6 x cn,done ,discard #2;3,
Nlgn9,52225,2x dark; 2x nat; 2x ori; 5 x cn,done ,,missing 1 contrast; mirrors not well aligned;
Nlgn9,52274,2 x dark; 2x nat; 2x ori; 6 x cn,done ,z drift; separate 1-7 and 8-12; for cn keep just 8-11,there seem to be several bright cells
Nlgn9,52286,3 x dark; 4x nat,done ,z drift; should group by stim type; 3rd rec dark - some rois merged,
Nlgn9,52455,4 x nat from 52286,done ,,
Nlgn9,53558,4 x cn,done ,regrouped from 52274 ,
Nlgn10,51959,2 x dark; 2x nat,done,1st different from the next (discard); not very sharp; v few rois; overlap between slices,not many cells; movement
Nlgn10,51963,8 x cn,skipping for now,last 2 rec noisy (discard); not very sharp; slice overlap,
Nlgn10,51971,2x dark; 3 x nat,done,few rois; some overlap,
Nlgn10,52236,2 x dark; 2x nat; 2x ori; 6 x cn,done,kind of fuzzy; last quite shifted (discard); few rois,
Nlgn10,51976,8 x cn,done,,
Nlgn10,51984,2 x dark; 4x nat,done,few rois; overlap?,
Nlgn10,51990,10 x cn,done,kind of fuzzy; esp. 1st,
Nlgn10,52000,2 x dark; 2x nat; 2x ori; 6 x cn,done **check for which group,z drift; group 1&12 separately; keep cn 1-4; few rois,
Nlgn10,52012,2 x dark; 2x nat; 2x ori; 6 x cn,skipping for now,kind of fuzzy; come back later if necessary,
Nlgn10,52248,2 x dark; 2x nat; 2x ori; 6 x cn,done,,
Nlgn12,52066,2 x dark; 2x nat; 2x ori; 6 x cn,done,half of the field is blurry; mirrors don't seem well aligned; discard 1;7;12,
Nlgn12,52078,2 x dark; 2x nat; 2x ori; 6 x cn,skip ,bad,
Nlgn12,52024,3 x dark; 3x nat,done,regrouped; nat movie id 52459; keep dark 1 and 2,
Nlgn12,52030,8 x cn,done,exclude reps 4;5  not very sharp,
Nlgn12,52038,2 x dark; 2x nat,done,some drift,
Nlgn12,52042,8 x cn,done,1;2&5;6  3;4&7;8 (selection done for first group),
Nlgn12,52050,2x dark; 4x nat,done,,
Nlgn12,52056,10 xcn,skip for now,kind of fuzzy (looks like mirror misalignment); some z drift,
Nlgn12,52309,2 x dark; 2x nat; 2x ori; 6 x cn,done,half of the field is blurry; very few rois,
Nlgn12,52459,3 x nat,done,,
Nlgn13,52085,8 x cn,done,not very sharp; discard 7; few rois,
Nlgn13,52093,2x dark; 3 x nat,done,discard #5,
Nlgn13,52098,8 x cn,done,discard #2;3 ,
Nlgn13,52113,10 xcn,skip,z drift,
Nlgn13,52293,2 x dark; 2x nat,done,mirrors not well aligned,
Nlgn13,52321,2 x dark; 2x nat; 2x ori; 6 x cn,done,,
Nlgn13,52333,2 x dark; 2x nat; 2x ori; 6 x cn,done,discard #9;11,
Nlgn13,52106,3x dark; 4x nat,done,regrouped; nat movie id 52466,
Nlgn13,52123,2 x dark; 2x nat; 2x ori; 6 x cn,skip,a lot of shift; hard to group; skip,
Nlgn13,52135,2 x dark; 2x nat; 2x ori; 6 x cn,skip,a lot of shift; hard to group; skip,
Nlgn13,52466,4x nat,done,,
Nlgn15,52173,2x dark; 4x nat,done,discard #5;6,
Nlgn15,52179,10 xcn,done,,
Nlgn15,52151,8 x cn,done,discard #7 in slices 1;2  and 8 in slice 3,
Nlgn15,52189,2 x dark; 2x nat; 2x ori; 6 x cn,done,,
Nlgn15,52260,2 x dark; 2x nat; 2x ori; 6 x cn,done,2 and 3 shifted; group separately if necessary; otherwise just discard,
Nlgn15,52147,2 x dark; 2x nat,done,,
Nlgn15,52159,3x dark; 3x nat,done,regrouped; nat movie id 52476,
Nlgn15,52165,8 x cn,done,first 3 and last 5 quite different; selection for 2nd group,
Nlgn15,52201,2 x dark; 2x nat; 2x ori; 6 x cn,done,4;12 discard; 9;10;11 are shifted but can still select rois for all,
Nlgn15,52297,2 x dark; 2x nat; 2x ori; 6 x cn,skip,shifts back and forth; hard to group,
Nlgn15,52476,3 x nat,done,,
Nlgn16,52213,2 x dark; 2x nat,done,1 and 3 blurry (esp.3; discard),
Nlgn16,52217,8 x cn,done,6 very blurry; discard and 7; a lot of overlap between slices 2;3 keep just 2,
Nlgn24,52628,2 x dark; 2 x nat; 2 x cn,done,,
Nlgn24,52634,3 x dark; 3 x nat,done,,
Nlgn24,52640,6 x cn,done,,
Nlgn24,52646,3 x dark; 3 x nat; ,done,,
Nlgn24,52652,8 x cn,done,,
Nlgn24,52660,8 x cn; 2 x nat,done,,
Nlgn24,52670,2 x dark; 2 x nat; 8 x cn  anest,done,,
Nlgn24,53482,2 x dark; 2 x nat; 8 x cn  anest,done,4th recording quite different plane (second slice); third slice 1st and 2nd recording quite different plane,
Nlgn25,52682,2 x dark; 2 x nat,done,,
Nlgn25,52686,2 x dark; 2 x nat; 6 x cn  awake,in progress,2nd and 3rd are totally off. Could be divided into 2 before and after 5th?,
Nlgn26,52696,2 x dark; 2 x nat,done,second half gets blurrier in the middle,
Nlgn26,52700,6 x cn,done,,
Nlgn26,52706,2 x dark; 3 x nat,skip for now,2nd shifted; top blurrier,
Nlgn26,52711,2 x dark; 2 x nat; 6 x cn awake,done for first group,3; 4 darker; some drift between first 5 and last 5 (split),
Nlgn26,52721,2 x dark,done,1/4 of image blurry and dim; few rois,
Nlgn26,52854,2 x dark; 2 x nat; 6 x cn  anest,done,1st is off,
Nlgn26,52884,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn26,52946,2 x dark; 3 x nat; 7 x cn  awake,done,3-7 off; rois for the rest; group 4 and 5 separately (nat mov),
Nlgn26,53022,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn27,52723,2 x dark; 2 x nat,done,split 2 and 2; selection for first group,
Nlgn27,52727,6 x cn; 2 x nat; 2 x dark  awake,done,discard 7 (blurry); first 3 more different from rest; select for 2nd group; discard cn,
Nlgn27,52737,6 x cn; 2 x nat; 2 x dark  awake,done,discard 1st (blurry),
Nlgn27,52747,6 x cn,done,,last rep has no behav recordings; can't use running traces!
Nlgn27,52864,2 x dark; 2x nat; 6 x cn  anest,done,,
Nlgn27,52874,2 x dark; 2x nat; 6 x cn  anest,skip for now,some drift; middle 4 are a bit shifted,
Nlgn27,52894,2 x dark; 2x nat; 6 x cn  anest,done,some drift throughout; not major,
Nlgn27,52958,2 x dark; 3 x nat; 7 x cn  awake,done,avg image of last rec looks weird in slice 2; discard,
Nlgn27,52970,2 x dark; 2x nat; 6 x cn anest,done,first is different; discard,
Nlgn28,52753,3 x dark; 2 x nat,done,nat mov darker,3rd rep dark a lot of grooming; discard
Nlgn28,52758,4 x cn,skip,gets fuzzier and dimmer,keeps getting dimmer in the centre
Nlgn28,52762,6 x cn; 2 x nat; 2 x dark,done,some drift,
Nlgn28,52772,2 x dark; 2 x nat; 6 x cn  awake,done,,
Nlgn28,52814,2 x dark; 2 x nat; 6 x cn   anest,done,,
Nlgn28,52906,2 x dark; 2 x nat; 6 x cn   anest,done,,
Nlgn28,52916,2 x dark; 2 x nat; 6 x cn   anest,done,last one a bit off; maybe discard,
Nlgn28,52981,2 x dark; 3 x nat (1 at the end); 6 x cn  awake,done,,
Nlgn28,52992,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn28,53058,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn29,52782,2 x dark; 2 x nat,done,,
Nlgn29,52786,8 x cn,done,3 a bit fuzzier,
Nlgn29,52804,2 x dark; 2 x nat; 6 x cn  awake,done,,
Nlgn29,52834,2 x dark; 2 x nat; 6 x cn anest,skip for now,first five and last 5 different; split,
Nlgn29,52844,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn29,52926,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn29,52936,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn29,53002,2 x dark; 2 x nat; 6 x cn  awake,done,first 2 different from rest; selection for larger group,
Nlgn29,53012,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn29,53041, 6 x cn;2 x dark; 2 x nat;  awake,done,last 2 drift; group separately,
Nlgn34,53240,2 x dark; 2 x nat,done,,
Nlgn34,53244,9 x cn,done,discard 2nd and 5th,
Nlgn34,53253,2 x dark; 3 x nat; 6 x cn,done,,
Nlgn34,53264,3 x dark; 3 x nat; 7 x cn,done,discar 3rd (shifted),
Nlgn34,53277,2 x dark; 2 x nat; 7 x cn,done,discard 3 (shift), seems more superficial
Nlgn34,53288,2 x dark; 2 x nat; 7 x cn anest,skip,,pupil was drifting a lot; image quality seemed worse
Nlgn34,53299,2 x dark; 2 x nat; 6 x cn anest,skip for now,seems quite superficial; not so many cells,
Nlgn34,53309,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn34,53514,2 x dark; 2 x nat; 6 x cn anest,done,,
Nlgn34,53524,2 x dark; 2 x nat; 6 x cn anest,done,more superficial; fewer rois in the first slice,
Nlgn34,53534,2 x dark; 2 x nat; 6 x cn anest,done,more superficial; fewer rois in the first slice,
Nlgn35,53319,2 x dark; 3 x nat,selection for dark recordings; done,group separately first an last (dark) and middle 3 (nat), few cells
Nlgn35,53324,6 x cn,,some drift,
Nlgn35,53330,2 x dark; 2 x nat; 6 x cn  awake,,,
Nlgn35,53340,2 x dark; 2 x nat; 6 x cn  awake,,,
Nlgn37,53350,2 x dark; 2 x nat,done,,
Nlgn37,53354,6 x cn,done,,
Nlgn37,53360,2 x dark; 2 x nat; 7 x cn,done,,
Nlgn37,53371,2 x dark; 2 x nat; 6 x cn,done,,
Nlgn37,53382,2 x dark; 3 x nat; 6 x cn,done,,
Nlgn37,53393,2 x dark; 2 x nat; 6 x cn  anest,done,half of the image blurrier,
Nlgn37,53403,2 x dark; 2 x nat; 6 x cn  anest,done,half of the image blurrier,
Nlgn37,53413,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn37,53423,2 x dark; 2 x nat; 6 x cn  anest,done,half of the image blurrier,
Nlgn37,53544,,skip,half of the image blurrier,
Nlgn38,53433,2 x dark; 2 x nat,done,,
Nlgn38,53437,7 x cn,done,,
Nlgn38,53444,2 x dark; 2 x nat; 6 x cn,done,a lot of drift; back and forth; keep recs 5;6;7;9 (cn),
Nlgn38,53454,2 x dark; 2 x nat; 3 x cn,done,some drift,
Nlgn38,53461,2 x dark; 2 x nat; 7 x cn  awake,done,drift; might need to discard 1st (see after roi shift),
Nlgn38,53472,2 x dark; 2 x nat; 6 x cn  anest,done,,
Nlgn43,54218,2 x dark; 2x nat; 6 x cn awake,skip,fuzzy; movement; few cells,
Nlgn43,54228,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn43,54238,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn43,54248,2 x dark; 2x nat; 6 x cn anest,done,last rec (dark) kind of off; maybe discard,
Nlgn43,54258,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn43,54280,3 x dark; 2x nat; 6 x cn awake,done,,
Nlgn43,54291,2 x dark; 2x nat; 6 x cn anest,done,some drift; not too bad,
Nlgn40,54301,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn40,54311,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn40,54321,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn40,54371,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn40,54270,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn40,54381,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn42,54331,2 x dark; 2x nat; 6 x cn awake,done,few rois,
Nlgn42,54341,2 x dark; 2x nat; 6 x cn awake,done,some drift,
Nlgn42,54351,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn42,54361,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn42,54391,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn42,54436,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54401,2 x dark; 2x nat; 6 x cn awake,done,2 and 3 more shifted,
Nlgn41,54411,2 x dark; 2x nat; 6 x cn awake,done,some drifte in middle 2-3 slices,
Nlgn41,54446,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn41,54494,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54540,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54550,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54421,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn46,54456,2 x dark; 2x nat; 6 x cn awake,done,few rois; region looks strange; don't know if should include this animal,
Nlgn46,54466,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn46,54484,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54520,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54530,2 x dark; 2x nat; 6 x cn anest,done,few rois (first slice; next ones better),
